subject_id,n_sessions,n_workstation_rounds,n_adaptation_rounds,n_rounds_total
afs033,3,9,9,18
ag044,3,9,9,18
ak031,3,9,9,18
am013,3,9,9,18
am045,3,9,9,18
aw037,3,9,9,18
bh003,3,9,9,18
cs047,3,9,9,18
dl011,3,9,9,18
dp017,3,9,9,18
eg001,3,9,9,18
el010,3,9,9,18
fa043,3,9,9,18
gh029,3,9,9,18
ip039,3,9,9,18
is048,3,9,9,18
it034,3,9,9,18
jc006,3,9,9,18
jc024,3,9,9,18
jfr046,3,9,9,18
jn055,3,9,9,18
js016,3,9,9,18
jt019,3,9,9,18
ke028,3,9,9,18
kl009,3,9,9,18
kw035,3,9,9,18
lc023,3,9,9,18
lj002,3,9,9,18
lr056,3,9,9,18
lw049,3,9,9,18
mc050,3,9,9,18
mns015,3,9,9,18
nk042,3,9,9,18
ny038,3,9,9,18
rc007,3,9,9,18
rs004,3,9,9,18
rz021,3,9,9,18
sc005,3,9,9,18
sj051,3,9,9,18
sm014,3,9,9,18
tx022,3,9,9,18
va041,3,9,9,18
xw020,3,9,9,18
ysl012,3,9,9,18
zi040,3,9,9,18
ac008,2,6,6,12
hd025,2,6,6,12
rs052,2,6,6,12
ar032,1,3,3,6
ldg026,1,3,3,6
ss018,1,3,3,6
